game_stat_id,game_id,winner_id,loser_id,points_of_winner,points_of_loser
3000,300,201,219,132,109
3001,301,213,217,110,103
3002,302,200,202,120,116
3003,303,211,208,115,109
3004,304,221,215,116,97
3005,305,216,222,124,109
3006,306,205,227,136,106
3007,307,203,210,110,105
3008,308,218,204,123,111
3009,309,214,228,126,124
3010,310,223,212,116,113
3011,311,209,224,140,104
3012,312,201,229,122,102
3013,313,206,226,120,109
3014,314,220,207,102,87
3015,315,217,225,117,115
3016,316,221,202,116,101
3017,317,227,222,115,107
3018,318,200,203,125,120
3019,319,205,208,113,101
3020,320,219,211,123,98
3021,321,210,214,128,108
3022,322,204,216,133,122
3023,323,209,228,127,86
3024,324,213,223,123,116
3025,325,218,224,105,103
3026,326,212,207,109,104
3027,327,215,203,114,106
3028,328,201,208,124,118
3029,329,205,229,135,116
3030,330,220,204,114,95
3031,331,214,221,124,111
3032,332,217,227,112,101
3033,333,226,210,109,106
3034,334,223,206,114,102
3035,335,213,225,131,127
3036,336,222,211,118,114
3037,337,202,216,115,102
3038,338,224,218,125,103
3039,339,220,200,128,104
3040,340,212,209,112,104
3041,341,221,211,119,115
3042,342,229,200,121,119
3043,343,201,216,119,108
3044,344,215,208,106,98
3045,345,205,219,110,104
3046,346,207,227,127,125
3047,347,204,214,126,123
3048,348,210,226,106,101
3049,349,206,228,110,102
3050,350,223,213,109,105
3051,351,225,224,111,98
3052,352,207,202,144,139
3053,353,206,217,120,114
3054,354,225,228,113,96
3055,355,209,218,124,106
3056,356,203,227,138,133
3057,357,205,213,134,110
3058,358,211,201,135,132
3059,359,208,222,105,95
3060,360,229,200,133,120
3061,361,219,215,116,107
3062,362,204,221,102,99
3063,363,202,214,119,106
3064,364,220,226,105,93
3065,365,209,218,104,89
3066,366,224,212,106,105
3067,367,214,216,122,99
3068,368,210,206,108,102
3069,369,226,228,106,88
3070,370,223,212,125,119
3071,371,201,203,124,109
3072,372,205,221,120,109
3073,373,219,208,128,98
3074,374,225,200,123,115
3075,375,202,204,120,112
3076,376,213,227,131,125
3077,377,218,211,125,118
3078,378,217,207,119,116
3079,379,220,224,137,114
3080,380,201,203,113,103
3081,381,214,222,124,107
3082,382,227,225,131,128
3083,383,209,210,127,121
3084,384,205,216,114,113
3085,385,226,217,113,103
3086,386,215,229,118,98
3087,387,207,228,129,103
3088,388,223,224,103,97
3089,389,220,212,105,92
3090,390,208,202,106,92
3091,391,200,218,126,111
3092,392,206,221,108,85
3093,393,205,216,116,114
3094,394,209,229,125,112
3095,395,208,213,115,103
3096,396,201,200,123,93
3097,397,202,214,106,104
3098,398,225,215,111,110
3099,399,228,204,135,126
3100,400,210,219,109,97
3101,401,217,203,114,93
3102,402,220,221,102,86
3103,403,224,218,118,100
3104,404,206,211,127,134
3105,405,207,227,121,119
3106,406,223,222,118,116
3107,407,212,226,113,104
3108,408,203,208,108,107
3109,409,211,221,118,111
3110,410,200,219,121,116
3111,411,209,201,118,112
3112,412,210,226,127,100
3113,413,214,213,131,114
3114,414,205,218,131,122
3115,415,206,204,119,99
3116,416,207,220,124,122
3117,417,223,215,115,112
3118,418,212,222,110,98
3119,419,225,227,122,107
3120,420,217,204,135,119
3121,421,216,228,123,100
3122,422,226,224,118,105
3123,423,203,211,103,83
3124,424,208,200,122,121
3125,425,221,218,115,88
3126,426,201,202,108,104
3127,427,205,209,136,117
3128,428,219,216,116,94
3129,429,223,206,114,113
3130,430,214,229,128,104
3131,431,220,210,126,107
3132,432,217,224,127,102
3133,433,207,215,135,122
3134,434,213,222,116,106
3135,435,212,225,107,98
3136,436,228,226,111,110
3137,437,204,200,125,113
3138,438,205,202,105,100
3139,439,212,227,105,103
