stat_id,player_id,games_played,points_per_game,assists_per_game,rebounds_per_game
1000,100,71,16.50,4.60,4.50
1001,101,58,11.20,3.90,4.30
1002,102,59,22.40,4.60,5.90
1003,103,68,27.10,5.90,8.80
1004,104,39,19.40,2.10,6.90
1005,105,57,12.80,5.20,2.80
1006,106,74,10.50,2.10,3.70
1007,107,60,10.10,1.40,4.60
1008,108,57,18.80,3.40,4.30
1009,109,66,10.20,2.20,7.60
1010,110,61,26.30,7.40,3.00
1011,111,74,18.00,3.70,3.20
1012,112,71,13.80,5.80,9.70
1013,113,68,17.60,2.10,4.80
1014,114,67,24.30,3.10,12.80
1015,115,52,26.30,6.10,3.30
1016,116,69,13.90,2.80,4.20
1017,117,60,15.10,1.80,6.10
1018,118,68,10.70,2.10,5.70
1019,119,40,7.30,0.90,7.80
1020,120,33,17.10,5.80,3.50
1021,121,54,14.40,1.80,3.60
1022,122,58,21.10,5.40,6.30
1023,123,65,19.30,5.80,7.70
1024,124,57,14.50,2.80,9.60
1025,125,46,7.20,4.20,2.50
1026,126,74,20.40,4.50,3.70
1027,127,70,14.60,7.20,8.10
1028,128,80,8.60,1.00,3.50
1029,129,73,18.50,3.50,10.10
1030,130,75,20.60,6.70,2.90
1031,131,71,24.00,5.00,4.50
1032,132,50,9.40,3.20,4.30
1033,133,71,18.50,3.20,9.30
1034,134,82,13.50,1.90,9.70
1035,135,70,26.10,9.10,6.10
1036,136,77,11.00,1.60,2.40
1037,137,59,10.10,2.30,5.10
1038,138,73,13.70,2.20,5.90
1039,139,78,11.80,2.70,10.30
1040,140,73,18.60,9.20,3.50
1041,141,65,10.00,5.00,3.30
1042,142,45,12.00,1.20,4.00
1043,143,78,20.20,3.40,6.90
1044,144,72,15.60,1.50,6.50
1045,145,58,24.90,7.10,4.70
1046,146,80,8.20,1.90,3.60
1047,147,65,14.80,2.30,5.70
1048,148,67,30.40,6.50,11.90
1049,149,80,13.00,1.80,5.00
1050,150,76,24.20,11.60,3.10
1051,151,76,14.10,4.40,5.90
1052,152,75,12.60,1.20,3.60
1053,153,33,6.00,0.80,4.20
1054,154,74,13.40,2.30,8.90
1055,155,47,25.20,7.40,4.90
1056,156,68,7.40,1.60,2.50
1057,157,47,6.70,1.10,2.90
1058,158,64,20.30,3.90,7.50
1059,159,44,15.30,2.50,10.20
1060,160,77,23.90,5.50,5.20
1061,161,74,11.00,2.40,2.30
1062,162,66,8.60,2.50,4.40
1063,163,60,18.00,2.60,4.50
1064,164,78,18.10,4.30,9.60
1065,165,67,9.40,2.90,3.00
1067,166,77,8.70,1.80,2.20
1068,167,60,24.20,4.70,5.70
1069,168,46,25.90,4.80,7.50
1070,169,68,9.10,2.00,7.20
1071,170,68,20.50,4.50,3.00
1072,171,37,11.90,4.10,3.70
1073,172,62,8.80,1.00,5.70
1074,173,68,8.70,2.50,4.20
1075,174,67,13.00,2.40,6.50
1076,175,67,21.40,6.00,3.90
1077,176,79,15.40,2.60,5.20
1078,177,77,18.20,2.10,7.00
1079,178,51,14.70,3.20,4.80
1080,179,70,29.60,10.20,12.70
1081,180,71,8.20,4.50,2.60
1082,181,79,27.60,4.50,5.70
1083,182,82,12.20,2.00,5.70
1084,183,69,18.70,4.70,7.10
1085,184,72,12.00,1.80,10.90
1086,185,76,32.70,6.40,5.00
1087,186,68,8.40,2.50,3.40
1088,187,71,10.10,1.60,4.10
1089,188,69,21.60,5.10,5.30
1090,189,32,15.00,2.00,8.00
1091,190,70,19.30,4.80,2.70
1092,191,78,11.30,2.20,5.80
1093,192,72,18.50,2.80,4.50
1094,193,47,14.40,2.10,3.50
1095,194,67,6.50,1.10,7.90
1096,195,71,8.70,6.30,3.30
1097,196,63,18.40,4.20,2.70
1098,197,50,4.60,1.20,2.30
1099,198,47,19.00,1.50,5.90
1100,199,58,11.10,1.70,12.20
1101,200,70,24.50,6.00,4.40
1102,201,64,11.70,3.40,5.10
1103,202,74,9.80,1.30,2.60
1104,203,55,17.50,5.40,5.40
1105,204,68,9.00,5.60,6.10
1106,205,79,22.80,8.70,5.80
1107,206,74,6.40,2.80,3.40
1108,207,60,21.80,2.10,3.20
1109,208,37,21.50,3.10,5.90
1110,209,80,16.80,2.70,12.60
1111,210,50,28.20,7.70,8.20
1112,211,73,20.20,5.80,4.50
1113,212,59,13.10,1.40,5.00
1114,213,70,24.40,8.20,7.80
1115,214,56,6.80,1.00,4.80
1116,215,75,25.60,7.10,4.10
1117,216,53,17.00,3.70,3.30
1118,217,74,6.90,0.80,3.60
1119,218,62,26.60,4.20,6.00
1120,219,57,9.30,0.90,8.20
1121,220,65,17.20,5.60,3.80
1122,221,74,23.30,4.20,4.30
1123,222,77,22.20,4.40,3.90
1124,223,76,12.40,1.40,6.70
1125,224,70,19.10,6.00,13.90
1126,225,33,8.30,2.30,1.80
1127,226,72,14.00,2.00,3.40
1128,227,69,13.20,3.00,4.80
1129,228,57,14.70,2.30,7.80
1130,229,40,4.20,1.10,2.90
1131,230,60,14.10,5.60,3.70
1132,231,82,21.00,3.40,4.60
1133,232,69,14.10,3.80,8.20
1134,233,75,14.00,1.70,3.70
1135,234,76,19.10,4.90,10.30
1136,235,50,23.20,7.30,4.10
1137,236,69,19.20,5.30,6.10
1138,237,79,10.40,1.70,3.40
1139,238,74,22.20,2.00,5.60
1140,239,66,9.20,1.00,8.30
1141,240,56,21.10,4.10,3.80
1142,241,53,21.20,3.50,5.10
1143,242,30,24.60,5.30,7.20
1144,243,44,8.70,2.90,4.70
1145,244,73,9.10,1.40,8.20
1146,245,82,8.80,7.40,3.60
1147,246,81,14.70,4.10,3.70
1148,247,64,16.30,2.90,4.00
1149,248,82,12.30,1.70,3.80
1150,249,28,5.10,1.10,5.60
